,ADDRESS,STOPS,WEIGHT,lat,lng
0,1200 DEAN KEETON,515,1.0,30.2859502,-97.7236068
1,13200 N 183,500,0.9708737864077671,30.4414896,-97.783751
2,7200 FM 2222 RD,481,0.933980582524272,30.342471000000003,-97.7389465
3,5200 FM 2222,409,0.7941747572815534,30.41768799999999,-97.6991515
4,9000 N MOPAC EXPY,390,0.7572815533980582,30.371707699999998,-97.7406695
5,13600 N US 183 HWY NB,371,0.7203883495145631,30.5060468,-97.8203465
6,13600 N 183,365,0.7087378640776699,30.4743675,-97.7804686
7,8000 MANCHACA RD,323,0.6271844660194175,30.1918776,-97.8125117
8,12900 N 183,323,0.6271844660194175,30.4743675,-97.7804686
9,1000BL EAST DEAN KEETON,313,0.6077669902912621,30.2884104,-97.73078350000002
10,5600 E BEN WHITE BLVD SVRD EB,313,0.6077669902912621,,
11,5300 N IH 35,295,0.5728155339805825,30.312034000000004,-97.70954090000001
12,700 BL EAST DEAN KEETON,287,0.5572815533980583,30.289466700000002,-97.7313141
13,13600 N IH 35,285,0.5533980582524272,30.423793800000002,-97.6718288
14,100 W BRAKER LANE,273,0.5300970873786408,30.379017100000002,-97.6813251
15,12900 N US 183 HWY NB,272,0.5281553398058253,30.5060468,-97.8203465
16,13200 N US 183 HWY NB,251,0.48737864077669896,30.5060468,-97.8203465
17,5600 S MOPAC,239,0.4640776699029126,30.17323189999999,-97.88789270000001
18,3400 ED BLUESTEIN BLVD,237,0.4601941747572815,30.269819000000002,-97.670314
19,NORTH I-35 EF,218,0.4233009708737864,30.336970500000003,-97.69955490000001
20,9200 N MOPAC,218,0.4233009708737864,30.371707699999998,-97.7406695
21,5400 WEST GATE BLVD,213,0.4135922330097088,30.221857500000002,-97.80631600000001
22,11900 N IH 35,209,0.4058252427184466,30.3848571,-97.6736373
23,900 W PARMER,207,0.4019417475728155,30.4079603,-97.6786152
24,11900 N MOPAC EXPY,196,0.38058252427184464,30.371707699999998,-97.7406695
25,13800-13600 N IH 35 SVRD SB,192,0.37281553398058254,,
26,1000 E DEAN KEETON,189,0.366990291262136,30.287138,-97.7263251
27,3700 FM 2222,177,0.34368932038834954,30.41768799999999,-97.6991515
28,7000 E 290 SVRD WB,167,0.3242718446601941,,
29,13200 N US 183 HWY SB,166,0.32233009708737864,,
30,9200 N MOPAC EXPY NB,156,0.3029126213592233,,
31,3700 FM2222,154,0.29902912621359223,30.41768799999999,-97.6991515
32,11500 N MOPAC EXPY,153,0.2970873786407767,30.4083821,-97.7262444
33,13500 RESEARCH BLVD NB,152,0.2951456310679612,30.370976000000002,-97.72681700000001
34,14100 AVERY RANCH BLVD,150,0.2912621359223301,30.495390999999998,-97.78911109999999
35,7100 BLOCK EAST US HIGHWAY 290,150,0.2912621359223301,30.232907399999995,-97.7975128
36,13200 N US 183,150,0.2912621359223301,30.4414896,-97.783751
37,14600 N IH 35,149,0.28932038834951457,30.4374979,-97.670357
